id,severity,tab,unit,file,issue,cluster,wave,autonomy,legacy_disposition,verification,status,pr
F001,CRITICAL,Patterns,coachhelm-patterns,`pattern-management.ts:450-451`,"`validatePattern` writes `validated_at` + `validated_by`, neither of which exists on `golf_patterns_v2` (live schema has `validation_date`, `validator_coach_id`, `validated_by_coach`). Postgres rejects the UPDATE (error 42703, verified live: `column ""validated_at"" ... does not exist`). The whole UPDATE fails atomically, so `lifecycle_state`/`severity`/`coach_notes` never persist either.",A7-patterns-v2-add-columns (+B1 code remap),A,review-gated,fix,"ADD COLUMN IF NOT EXISTS addressed_at+coach_notes; information_schema 2 cols; coach UPDATE lifecycle/addressed_at/coach_notes -> rowCount=1 (was 42703); MUST merge before B1 pattern-management.ts edit (HOT); browser Confirm+Address persists, Coach Notes+Validated render; regen database.ts; tc/lint/vitest",done,#331
F002,CRITICAL,Patterns,coachhelm-patterns,`pattern-management.ts:572-580`,"`markPatternAddressed` always writes `addressed_at` (line 574) and, when notes are passed, `coach_notes` (line 579) — neither column exists on `golf_patterns_v2`. UPDATE fails (42703).",A7-patterns-v2-add-columns (+B1 code remap),A,review-gated,fix,"ADD COLUMN IF NOT EXISTS addressed_at+coach_notes; information_schema 2 cols; coach UPDATE lifecycle/addressed_at/coach_notes -> rowCount=1 (was 42703); MUST merge before B1 pattern-management.ts edit (HOT); browser Confirm+Address persists, Coach Notes+Validated render; regen database.ts; tc/lint/vitest",done,#331
F003,CRITICAL,Documents + Travel,docs-travel,supabase/migrations/20260527000000_prod_public_baseline.sql:19043,"`golf_documents_select_team` RLS = `is_golf_team_coach(team_id) OR is_golf_team_player(team_id)` with NO `is_public` check. A player can SELECT every team document, incl. coach-only (`is_public=false`) rows. UI hides them (`page.tsx:95-97`) but the `getDocument`/`getDocuments`/`getPreviewUrl`/`getVersionHistory` server actions only check team membership (`documents.ts:39-80`), never `is_public`. A player who guesses/obtains a coach-only doc id can read its metadata + a signed preview URL. The recruit_documents migration (20260614020000_recruit_documents.sql:13) explicitly documents this leak as the reason recruit docs got a separate table.",A2-golf-documents-rls-is-public,A,review-gated,fix,RLS test: player SELECT of is_public=false doc -> 0 rows (was 1); coach -> 1; pg_policies qual contains is_public; documents.ts player guard folded to docs-travel after; tc/lint/vitest,db-done,Wave A · A2 RLS now gates is_public (verified live); code companion B8 = documents.ts non-coach read guard
F004,CRITICAL,Messaging,messages,"supabase/migrations/20260527000000_prod_public_baseline.sql:2810-2811,20376 (LIVE-confirmed)","`get_golf_conversations_with_details(p_user_id)` is `SECURITY DEFINER`, granted `EXECUTE` to `anon` + PUBLIC, and trusts the `p_user_id` arg instead of `auth.uid()`.",A1-messaging-rpc-idor,A,review-gated,fix,RLS test: demo player calls rpc with coach user id -> 0 rows/42501; role_routine_grants shows NO anon; soft-deleted msg excluded from preview+unread_count; browser own threads unchanged; tc/lint/vitest,done,Wave A · A1 applied prod 2026-06-21 + IDOR functional test + pgTAP wave_a_db_security.sql
F005,CRITICAL,My Development,my-development,development.ts:314-321 (also 360-367) + baseline migration 19358,"The only UPDATE policy on `golf_player_focus_areas` is `golf_player_focus_areas_update_coach` (coach staffing the team). There is NO player-self UPDATE policy in any migration. `updateFocusAreaProgress`/`completeFocusArea` run on the RLS-scoped server client. A player's UPDATE matches 0 rows under RLS; Supabase returns no error on 0 affected rows, so the action returns `{success:true}`.",A3-focus-areas-player-self-update,A,review-gated,fix,RLS test: demo player UPDATE own focus area -> rowCount=1 (was 0 silent no-op); unrelated player -> 0; pg_policies has _update_coach+_update_player; browser my-development progress sticks; development.ts 0-row=hard-error companion folded; tc/lint/vitest,done,Wave A · A3 player-self UPDATE policy live + pgTAP; code companion C1 (honest 0-row) follow-up
F006,CRITICAL,My Game/Standing,player-profile-self,"src/components/fairway/charts/StandingStrip.tsx:103-109,119,174","`StandingStrip` ignores `props.pga_omitted`. It always draws the reference tick (`:174`) and the reference Readout value (`:119`) from `props.pga_value`. For a women's-team player on a metric with no women's anchor, `applyGenderAnchor` returns the **men's** `pga_value` with `pga_omitted:true` (gender-anchor.ts:86-91) expecting suppression. Legacy `Card.tsx:46,88-90,196-206` correctly suppresses; the prod Fairway path does not.",B11-my-standing-pga-omitted-counterfactual,B,review-gated,fix,F006 needs WOMENS-team player seeded -> no reference tick/Readout when pga_omitted; F028 CounterfactualLine restored under each strip flag-on; component test+tc/lint,done,#331
F007,CRITICAL,Roster,roster,"`src/app/golf/actions/golf.ts:3024` + `src/components/golf/roster/PlayerActionsMenu.tsx:27`, `PlayerStatusBadge.tsx:19`, `FairwayPlayerStatusBadge.tsx:57`, `FairwayPlayerActionsMenu.tsx:66`","`golf_team_members.status` is the Postgres enum `team_member_status = {pending,active,inactive,removed}` (baseline migration `20260527000000_prod_public_baseline.sql:216`, db types `database.ts:11884`). The UI offers `active/injured/redshirt/inactive`. Selecting **Injured** or **Redshirt** sends a value not in the enum; Postgres rejects it (`invalid input value for enum`), so `updatePlayerStatus` returns `{success:false,'Failed to update player status'}`. The action's comment claiming a CHECK constraint allows all four is stale — no migration adds those enum values.",B4-roster-status-pickers,B,review-gated,fix,"DROP decision: remove Injured/Redshirt from status pickers (app-only, no enum migration); browser: picker offers only active/inactive, no failing write; tc/lint/vitest",done,#332
F008,CRITICAL,Settings + Notifications,settings-core,src/lib/coachhelm/v3/notifications/router.ts:69,`routeNotification` (the only consumer of `golf_player_notification_state.prefs`/`quiet_mode`) is never imported or called by any delivery path (`email.ts:802` and `push.ts:135` gate on `users.notification_preferences` instead).,B3-notification-delivery-consolidation,B,review-gated,fix,browser: coach Notifications panel persists to users.notification_preferences; palette no dead-end; delivery-gate test off->no send; defaults aligned; .maybeSingle() on write read; no anon grant; orphaned golf_player_notification_state left in place; HOT FairwaySettingsGeneral; tc/lint/vitest,done,#332
F009,CRITICAL,Settings + Notifications,settings-core,src/components/fairway/pages/settings/FairwaySettingsGeneral.tsx:334-352,"Live Fairway settings replaced the legacy `NotificationsPanel` (which writes `users.notification_preferences`, the column `email.ts`/`push.ts` read) with a Link to player-only `/settings/notifications`. No coach-facing notification UI exists. `updateNotificationPreferences` is unreachable in the live app.",B3-notification-delivery-consolidation,B,review-gated,fix,browser: coach Notifications panel persists to users.notification_preferences; palette no dead-end; delivery-gate test off->no send; defaults aligned; .maybeSingle() on write read; no anon grant; orphaned golf_player_notification_state left in place; HOT FairwaySettingsGeneral; tc/lint/vitest,done,#332
F010,CRITICAL,Tasks,tasks,src/hooks/golf/use-task-realtime.ts:114-135 + src/app/golf/actions/tasks.ts (no `assigned_to` write),"Read path filters/joins `golf_tasks.assigned_to`, but create/complete write `golf_task_assignments`; `assigned_to` is never set",B2-tasks-read-model-unification,B,review-gated,fix,"browser: coach progress N/M; player sees+completes task (persists); player root home Today lists task (F027 same root, folded); subscribe realtime to golf_task_assignments; HOT dashboard-data.ts+use-task-realtime.ts; vitest+tc/lint",done,#332
F011,CRITICAL,Tasks,tasks,src/app/golf/(dashboard)/dashboard/tasks/page.tsx:87-95,"`assignments[]` is synthesized from a single `assigned_to_name` (NULL for all created tasks), not from `golf_task_assignments`",B2-tasks-read-model-unification,B,review-gated,fix,"browser: coach progress N/M; player sees+completes task (persists); player root home Today lists task (F027 same root, folded); subscribe realtime to golf_task_assignments; HOT dashboard-data.ts+use-task-realtime.ts; vitest+tc/lint",done,#332
F012,HIGH,Auth,auth-flows,src/app/golf/(dashboard)/GolfDashboardShell.tsx:288 / FairwayDashboardShell (absent),`DemoEnterTracker` (the `?demo=1` → `demo_coach_entered` PostHog capture) is mounted only in the legacy shell; the Fairway shell never mounts it. Prod runs the Fairway shell (redesign LIVE).,B36-demo-enter-tracker-fairway-shell,B,review-gated,fix,browser: demo gate -> demo_coach_entered PostHog fires once; mount DemoEnterTracker in FairwayDashboardContent; HOT FairwayDashboardShell; tc/lint,done,#332
F013,HIGH,Calendar,calendar,"`FairwayCalendar.tsx:864-877` + `FairwayEventEditor.tsx:419-425,571-580`","""Restore event"" button never renders because `onRestore` is not passed to `FairwayEventEditor`; same in legacy `PremiumCalendarClient.tsx:1112-1126` → `EventDetailModal`.",B6-calendar-restore-from-cancelled,B,review-gated,fix,browser: soft-cancel event -> Restore button renders -> updateGolfEvent status:confirmed un-cancels; PremiumCalendarClient LIVE (Fairway grid); tc/lint/vitest,done,#332
F014,HIGH,Classes,classes,src/components/golf/classes/AddClassModal.tsx:155-171,`formData` is set via a lazy `useState(() => editingClass \,B14-classes-edit-error-resync (+A5),B,review-gated,fix,browser: edit opens prefilled; save failure toasts; calendar resync via detectSemester default (.success checked); semester subtitle hidden when empty; no destructive delete-then-insert; vitest+tc/lint,done,#331
F015,HIGH,Classes,classes,src/components/golf/classes/AddClassModal.tsx:423-431 → page.tsx:122,"Credits `<Input>` uses `step=""0.5""` + `parseFloat`, allowing `3.5`, but `golf_player_classes.credits` is `integer` (golfhelm-database.md:770). The float is inserted verbatim.",REFUTED (audit §6),—,—,wont-fix,"Refuted on verification — credits int/float is not a real defect; half-credit support is a separate enhancement, out of scope.",done,#332
F016,HIGH,Alerts,coachhelm-alerts,FairwayCoachHelmSignals.tsx:289-301 + page.tsx:81,"Default severity filter is seeded with `['urgent','high']`, but rows' mapped `priority` uses `urgent→'critical'` (patternToInsightVocabulary.ts:101-106; InsightPriority has no 'urgent'). The client filter `!severitySet.has(r.priority)` (line 477) therefore drops every urgent insight: `severitySet={'urgent','high'}` never contains `'critical'`.",B9-alerts-urgent-severity-normalization,B,review-gated,fix,"browser: urgent alert renders by default; applied chip reads Critical; signalCount matches feed; normalize urgent->critical in UI vocab, keep DB fetch [urgent,high]; HOT FairwayCoachHelmSignals; vitest+tc/lint",done,#331
F017,HIGH,CoachHelm Hub + Chat,coachhelm-hub,"`src/lib/coachhelm/v3/chat/agent.ts:9-13,45-50,156-162` + `src/components/golf/coachhelm/v3/Chat/*`","`create_goal_for_player` is the one mutating chat tool. agent.ts states the write is gated by a UI ""Confirm/Edit/Cancel dialog"" (""The UI is the real gate; the instructions are the soft fence""). That dialog does NOT exist anywhere in the chat UI — `ChatDrawer`, `ChatMessageList`, `ChatComposer`, `AskWorkspace`/`AskThreadPane` have no confirm step (grep for confirm/propose/dialog in the chat tree finds only the drawer's `role=""dialog""`). The ONLY guard is the LLM system prompt.",B12-chat-goal-create-confirm-gate,B,review-gated,fix,"browser: 'create goal','yes' -> NO golf_goals row until explicit Confirm card click; Cancel writes nothing; security-sensitive write; tc/lint/vitest",done,#331
F018,HIGH,Patterns,coachhelm-patterns,`pattern-management.ts:638`,"`resolvePattern` writes `coach_notes` ONLY when `notes` is passed. The UI never passes notes (legacy `handleResolve` calls `resolvePattern(pattern.id)`, redesign `handleResolvePattern` calls `resolvePattern(row.id)`), so today it succeeds; but any future caller passing notes will hit the same 42703 column failure. `golf_patterns_v2` has `resolution_notes`, not `coach_notes`.",A7-patterns-v2-add-columns (+B1 code remap),A,review-gated,fix,"ADD COLUMN IF NOT EXISTS addressed_at+coach_notes; information_schema 2 cols; coach UPDATE lifecycle/addressed_at/coach_notes -> rowCount=1 (was 42703); MUST merge before B1 pattern-management.ts edit (HOT); browser Confirm+Address persists, Coach Notes+Validated render; regen database.ts; tc/lint/vitest",done,#331
F019,HIGH,Development Plans,development-plans,PlayersGridView.tsx:316-345 / page.tsx:60-81,"RosterHealthHeader's ""Did the coaching land?"" outcome-mix tallies `fa.outcome_status`, but (a) the route SELECT never selects it and (b) `outcome_status` is NOT a column on `golf_player_focus_areas` — it lives only on `golf_coach_insights` (DB doc:256, written by `recordFocusAreaOutcome` development.ts:837).",B13-development-route-select-provenance-sparkline-outcome,B,review-gated,fix,browser: SourceChip link renders; sparkline draws; 'Did the coaching land?' advances via from_insight_id join (code-only; outcome_status stays on golf_coach_insights); tc/lint/vitest,done,#332
F020,HIGH,Documents + Travel,docs-travel,src/components/fairway/pages/documents/FairwayDocuments.tsx:1556-1558,"The per-card Download link is `<a href={doc.file_url} download>`. `doc.file_url` is a `getPublicUrl()` value (documents.ts:207/413/791), but the `documents` storage bucket was flipped **private** in LIVE-29 (`migrations_archive/pre_20260527/20260421100004_coachhelm_storage_buckets.sql:19`). A public URL on a private bucket 403s, so Download is broken. Preview still works (it uses `getPreviewUrl`→`createSignedUrl`).",B8-document-signed-download,B,review-gated,fix,browser: Download -> file downloads (was 403 on private bucket); route via signed URL (getPreviewUrl pattern); legacy twin fixed-while-touching; is_public enforcement=A2; tc/lint,done,#331
F021,HIGH,Documents + Travel,docs-travel,src/app/golf/(dashboard)/dashboard/documents/documents-client.tsx:1015-1023,"Same broken Download in the legacy branch — `<a href={doc.file_url} download>` against the now-private bucket. (Active only when redesign flag is off, but ships in the bundle.)",B8-document-signed-download,B,review-gated,fix,browser: Download -> file downloads (was 403 on private bucket); route via signed URL (getPreviewUrl pattern); legacy twin fixed-while-touching; is_public enforcement=A2; tc/lint,done,#331
F022,HIGH,Messaging,messages,src/components/fairway/pages/messages/MessageThreadPane.tsx:425-431 (+ legacy page.tsx:766-774),"Sent attachments are never rendered or downloadable. `getGolfMessageAttachments` / `getSignedUrlsForAttachments` exist but are called from NOWHERE in the UI (grep-confirmed). The thread bubble only shows a static ""Attachment"" text label (Fairway) or nothing (legacy).",B7-messaging-attachments-render,B,review-gated,fix,"browser: send image+pdf -> recipient sees gallery (image inline, file download chip via getSignedUrlsForAttachments); legacy renderer skip-dormant; tc/lint/vitest",done,#331
F023,HIGH,Onboarding,onboarding,"`src/app/golf/(onboarding)/player/page.tsx:4,38`","`useSearchParams()` called in the default-exported client page with **no `<Suspense>` boundary**, unlike every sibling auth page (login `page.tsx:270-284`, welcome `page.tsx:232-245`, signup wraps its readers in Suspense).",B15-onboarding-role-guards-suspense-avatar-resume,B,review-gated,fix,browser: /player Suspense clean build; coach->/player redirected NO golf_players row; player->/coach no golf_coaches row; avatar_url written; coach wizard resumes; outer catch deletes createdCoachId; integration+tc/lint,done,#332
F024,HIGH,Onboarding,onboarding,`src/app/golf/(onboarding)/coach/page.tsx:102-111`; `onboarding.ts:88-101`,"The coach page only checks `golf_coaches.onboarding_completed`; it does **not** check whether the user is already a player. A logged-in player who navigates to `/golf/coach` is shown the coach wizard, and `completeCoachOnboarding` will insert a `golf_coaches` row (the `users` upsert uses `ignoreDuplicates:true` so the existing `role:'player'` is preserved, masking the change).",REFUTED (audit §6),—,—,wont-fix,Refuted — player→coach escalation not exploitable as described; optional cheap symmetric guard alongside F131 in B15.,done,#332
F025,HIGH,Player CoachHelm,player-coachhelm,`src/components/golf/coachhelm/player/WhatIfPanel.tsx:51` + `coachhelm-data.ts:105-115`,"`WhatIfPanel` resolves its improvement list from `profileData?.improvements`, but `getPlayerProfile`'s `PlayerProfileData` has **no `improvements` field** (only composite/categories/percentiles/baselines/playerState). `resolvedImprovements` is therefore always `[]`.",B10-whatif-improvements-prediction-wiring,B,review-gated,fix,browser (LIVE-reproduced): What-If shows ranked improvements+Simulate; Predicted finite score; projected=baseline+projectedScoringChange; HOT FairwayPlayerCoachHelm; unit+tc/lint,done,#331
F026,HIGH,Player CoachHelm,player-coachhelm,`FairwayPlayerCoachHelm.tsx:672-690` (also legacy `PlayerCoachHelmDashboard.tsx:567-583`),"The `onSimulate` handler (which calls `getPlayerWhatIf`) is only ever invoked by the Simulate buttons inside `WhatIfPanel`. Because the improvement list is always empty (finding above), those buttons never render, so `onSimulate`/`getPlayerWhatIf` is **dead code on this surface**.",B10-whatif-improvements-prediction-wiring,B,review-gated,fix,browser (LIVE-reproduced): What-If shows ranked improvements+Simulate; Predicted finite score; projected=baseline+projectedScoringChange; HOT FairwayPlayerCoachHelm; unit+tc/lint,done,#331
F027,HIGH,Player Dashboard + Hub,player-home,`src/app/golf/actions/dashboard-data.ts:774-781`,"Root player dashboard derives `actionItems` (tasks) from `golf_tasks.assigned_to = playerId`, but the live task-assignment flow (`CreateTaskModal` → `golf_task_assignments`, `tasks.ts createTask`/`createTaskFromTemplate`) never sets `golf_tasks.assigned_to` (stays NULL). No trigger syncs it.",B2-tasks-read-model-unification,B,review-gated,fix,"browser: coach progress N/M; player sees+completes task (persists); player root home Today lists task (F027 same root, folded); subscribe realtime to golf_task_assignments; HOT dashboard-data.ts+use-task-realtime.ts; vitest+tc/lint",done,#332
