id,feature,role,sub_feature,severity,dimension,premium_blocker,current_layer,target_gap,file,evidence,recommendation,verdict,verdict_conf,orig_severity,calibrated,cal_verdict,cal_real
P001,Coach Dashboard Home,coach,Loading state (route skeleton),medium,states,True,2,A shape-matched skeleton that mirrors the live Fairway layout so there is no layout shift / wrong-chrome flash on load.,src/app/golf/(dashboard)/dashboard/loading.tsx:1-5 -> src/components/ui/skeleton.tsx:1081-1160,"loading.tsx returns <DashboardSkeleton/>, which renders the LEGACY layout: `<div className=""max-w-7xl mx-auto px-6 ..."">`, a 5-item Quick Actions list (`{[1,2,3,4,5].map(... QuickActionSkeleton)}`), a 3-col grid (`grid lg:grid-cols-3`), and `surface-matte rounded-3xl` / `bg-warm-200/60` tokens. The live Fairway dashboard is `max-w-[1200px]`, has NO quick-actions list, a 2/4-col KPI grid, a glass hero strip, Today + Action Items sections, and a 5-col team region. The skeleton matches neither stru","Build a Fairway-specific dashboard skeleton (or co-locate `loading.tsx` shape with FairwayCoachDashboard): max-w-[1200px], ViewHeader skeleton, Window toolbar, one hero-glass-shaped block, Today block, 2/4-up MetricCard skeletons (the MetricCard primitive already ships `loading`), DataTable skeleton (DataTableSkeleton exists), team region. Gate on isRedesignEnabled() so the legacy skeleton stays for the flag-off fork.",confirmed,high,critical,yes,mis-severed,True
P002,Coach Dashboard Home,coach,Error handling (data fetch failure),critical,states,True,1,"Distinguish 'fetch failed' (error+retry, never zeros) from 'no data yet' (designed empty). Zeros must never stand in for an outage.",src/app/golf/(dashboard)/dashboard/page.tsx:104-119,"try { payload = await getCachedCoachDashboardData(...) } catch { const emptyData: CoachDashboardData = { ... rosterSize: 0, ... recentRounds: [], topPlayers: [], ... }; return renderCoachDashboard({ data: emptyData, dateRange }); } — a DB/network failure renders a fully-zeroed but 'healthy-looking' dashboard ('No rounds logged yet', roster 0, empty Today/Top Performers) instead of an error+retry surface. This is a cheerful empty masking a failure plus fabricated 0s.","Do not catch-to-empty on a real fetch failure. Let the error propagate to the route error.tsx boundary (which offers retry), OR render an explicit InlineNotice tone='danger' with a retry that re-navigates. Reserve emptyData ONLY for the genuine new-team / no-data case (which the action returns without throwing).",confirmed,high,critical,yes,confirmed,True
P003,Coach Dashboard Home,coach,Join-request alert banner,high,ui-foundation,True,2,Replace the legacy amber/glass banner with a token-disciplined matte Fairway notice so the dashboard reads as one coherent premium surface.,src/components/golf/roster/JoinRequestAlert.tsx:89-112,"className=cn('relative overflow-hidden rounded-2xl mb-6','bg-gradient-to-r from-amber-500 via-amber-500 to-orange-500','shadow-lg shadow-amber-500/20', ...) with a `bg-gradient-to-r from-white/20` glow, `bg-white/20 backdrop-blur-sm`, `text-white`, `text-amber-600`, `hover:bg-amber-50`. This loud amber/orange gradient glass card is rendered inside the calm, single-green, one-glass-hero Fairway dashboard (FairwayCoachDashboard.tsx:402 <JoinRequestAlert/>).",Render join requests through a Fairway primitive — e.g. InlineNotice tone='warning' (or an InsightCard variant='default' priority='high') with the existing 'Review Requests' Button — using --fw tokens only. Remove the gradient/glow/backdrop and the hard-coded mb-6 (parent owns gap-8). One glass surface per view; one brand accent.,confirmed,high,critical,yes,mis-severed,True
P004,Coach Dashboard Home,coach,KPI delta chips (Scoring/GIR/Putts),medium,data,True,2,Delta numerator and label must describe the same period; use the real windowed previousAverage that already exists in the payload.,"src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx:276-281,446-450,474-478,499-503","scoringSeries = enhancedData?.sparklines.scoringAvg.sparkline (last 5 round values); scoringDelta = seriesDelta(scoringSeries) (last-first of those 5); then delta={{ value: scoringDelta, label: 'over window' }}. The MetricCard VALUE is the windowed aggregate (scoringAvg) but the delta MAGNITUDE is only the first->last swing of the latest 5 rounds, yet it is labeled 'over window'. payload.previousAverage (a real split-half windowed baseline) is computed in the action but never used here (grep: 'p","Either compute the delta as (current windowed value - previousAverage) and keep the 'over window' label, or relabel the chip to 'last 5 rounds' to match what seriesDelta actually measures. Do not present a 5-round swing as a window-wide delta.",confirmed,high,high,yes,mis-severed,True
P005,Coach Dashboard Home,coach,Recent Rounds table — row interaction,medium,wiring,True,2,Every clearly-clickable row must navigate somewhere real; an inert data table reads as unfinished.,src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx:583-589,"<DataTable<RoundRow> data={recentRounds.slice(0,8)} columns={roundColumns} ariaLabel=... getRowId={(r)=>r.id} density=""comfortable"" /> — no onRowClick. The DataTable renders avatar+player+course+score+date rows that strongly invite a click, but each row is dead (no navigation to the round). A coach cannot open a round from the dashboard.",Pass onRowClick={(r)=>router.push(`/golf/dashboard/rounds/${r.id}`)} (or the player-insight route) so rows are actionable — the DataTable already adds role=button/tabIndex/keyboard handling when onRowClick is present. Provides the obvious next action from the table.,confirmed,high,high,yes,mis-severed,True
P006,Coach Dashboard Home,coach,Recent Rounds table — sorting over sliced data,medium,data,False,2,"Disable sort on a truncated preview table, or sort the full dataset — never offer a sort that silently operates on a slice.",src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx:583-589 (DataTable enableSorting default true) + data-table.tsx:247,"DataTable enableSorting defaults to true and the dashboard does not pass enableSorting={false}; the data passed is recentRounds.slice(0,8). A coach who clicks the 'Score' or 'To Par' header sorts ONLY the latest 8 rounds, implying a team-wide ranking that isn't there.","Pass enableSorting={false} on this preview table (it is a 'latest 8' digest with a 'View all' link), or sort over the full set and label it. Sorting a truncated preview misleads.",,,medium,no,,
P007,Coach Dashboard Home,coach,Masthead secondary actions + hero CTAs + copy-code (touch targets),medium,mobile,False,2,Primary interactive controls reach the 44px touch-target minimum on mobile.,"src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx:364-375,415-423,539-544 + controls/button.tsx:87","Schedule/Qualifier (size='sm'), Open CoachHelm/What's New (size='sm'), and the invite-code copy button (size='sm') all resolve to `min-h-[36px]` (button.tsx sizeStyles.sm). The Segmented date control also uses default md = `min-h-[36px]`. The rubric DoD requires touch targets >=44px on mobile.","Use size='md' (44px) for the primary touch controls on the dashboard, or bump Button sm to 40-44px on coarse pointers. At minimum the hero CTAs and the copy button (frequent actions) should be >=44px.",,,medium,no,,
P008,Coach Dashboard Home,coach,Greeting microcopy,low,microcopy,False,3,A greeting that is either time-correct or doesn't claim a time-of-day; small Layer-4 delight opportunity.,src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx:352,"title={`Good day, ${firstName}`} — a fixed 'Good day' that pretends to be a greeting but never reflects the time of day (morning/afternoon/evening). The component comment (line 16) calls it a 'Fraunces greeting'.","Either make it time-aware (Good morning/afternoon/evening using the team timezone already in payload.timezone) for the delight/legendary tier, or drop the time word ('Welcome back, Nick') so it is not subtly wrong all day.",,,low,no,,
P009,Coach Dashboard Home,coach,Today's schedule — RPC error swallowed,medium,states,False,2,An RPC failure must not be indistinguishable from a genuinely empty schedule.,"src/app/golf/actions/dashboard-data.ts:289-293,332 + FairwayCoachDashboard.tsx:837-845",const todayEvents: TodayEvent[] = (todayEventsResult.data as TodayEvent[] | null) ?? []; — the get_coach_today_schedule RPC's `error` field is never checked. A failed RPC yields [] which the UI renders as the cheerful EmptyState 'Clear schedule today — a good window for practice or recovery.',"Check todayEventsResult.error; on error, surface a distinct degraded state (e.g. a quiet 'Couldn’t load today’s schedule' notice) rather than implying the day is empty. Same honesty rule as the page-level catch.",,,medium,no,,
P010,Coach Dashboard Home,coach,KPI grid — mixed tile shapes when metrics are null,medium,ui-foundation,False,2,"Consistent KPI tile silhouette whether a metric is present, insufficient, or zero.",src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx:439-530,"Populated metrics render <MetricCard/> (bordered tile with box-shadow + big number); null metrics render a bespoke <Surface elevation=""border"" padding=""sm""> with a label span + <InsufficientData compact/> (a dashed inset). The Roster card is always a MetricCard. In a low-data team the 4-up grid mixes two different tile silhouettes side by side.","MetricCard already supports `empty` + `emptyMessage` (recedes a null value). Use <MetricCard ... empty emptyMessage=""Need 3+ rounds""/> for the null case so all four tiles share one silhouette, or render InsufficientData inside a MetricCard-shaped Surface. Keep one tile vocabulary across the row.",,,medium,no,,
